;Banque;Catégorie;Date;Numéro d'opération;Libellé;Crédit;Détail
6;CEAPC;;2024-11-19;1911202420241119-08.43.11.889344 -;CB PHARMAMERIQUES    181124;439.05;CB PHARMAMERIQUES    181124 CONTRAT 8413786     REM 184020   
7;CEAPC;;2024-11-19;1911202420241119-08.43.11.875367 -;CB PHARMAMERIQUES    181124;406.47;CB PHARMAMERIQUES    181124 CONTRAT 8413786     REM 181677   
8;CEAPC;;2024-11-19;1911202420241119-08.43.11.862876 -;CB PHARMAMERIQUES    181124;466.62;CB PHARMAMERIQUES    181124 CONTRAT 8413786     REM 179937   
9;CEAPC;;2024-11-19;1911202420241119-08.43.11.849659 -;CB PHARMAMERIQUES    181124;228.73;CB PHARMAMERIQUES    181124 CONTRAT 8413785     REM 185286   
10;CEAPC;;2024-11-19;1911202420241119-08.43.11.836777 -;CB PHARMAMERIQUES    181124;6.4;CB PHARMAMERIQUES    181124 CONTRAT 8413785     REM 171764   
11;CEAPC;;2024-11-19;1911202420241119-08.43.11.821936 -;CB PHARMAMERIQUES    181124;2.22;CB PHARMAMERIQUES    181124 CONTRAT 8413785     REM 181353   
12;CEAPC;;2024-11-19;1911202420241119-05.46.28.752197 -;VIR SEPA ACTIL SAS;17.55;ACT:4478858/172032443-131124    
13;CEAPC;;2024-11-19;1911202420241119-05.46.28.353177 -;VIR SEPA ACTIL SAS;37.18;ACT:4509084/172032443-141124    
14;CEAPC;;2024-11-19;1911202420241119-03.07.22.961703 -;VIR SEPA ALMERYS;185.42;TP-20241116-ALMERYS TP -172032443-0098532001-6396-   
15;CEAPC;;2024-11-19;1911202420241119-03.07.21.258210 -;VIR SEPA ALMERYS;166.39;TP-20241118-ALMERYS TP -172032443-0098532001-6396-   
16;CEAPC;;2024-11-19;1911202420241119-03.07.16.354144 -;VIR SEPA CPAM DU VAL D OISE;8.61;0000001720324433208500241118    
17;CEAPC;;2024-11-19;1911202420241119-03.07.13.181259 -;VIR SEPA KORELIO PRESTATIONS;83.73;FRAIS MEDICAUX LOT NUMERO:963    
18;CEAPC;;2024-11-19;1911202420241119-03.07.11.890458 -;VIR SEPA CPAM ESSONNE;34.62;0000001720324433201821241118    
19;CEAPC;;2024-11-19;1911202420241119-03.07.09.718751 -;VIR SEPA CPAM 75 PRESTATIONS;14.91;0000001720324433202201241118    
20;CEAPC;;2024-11-19;1911202420241119-03.07.07.318899 -;VIR SEPA CPAM ST BRIEUC;10.39;0000001720324433204311241118    
21;CEAPC;;2024-11-19;1911202420241119-03.07.06.315759 -;VIR SEPA CPAM ILLE ET VILAINE;1.23;0000001720324433207401241118    
22;CEAPC;;2024-11-19;1911202420241119-03.07.03.152187 -;VIR SEPA MUTUELLE 403;7.45;PREST M403  TIERS 172032443    
23;CEAPC;;2024-11-19;1911202420241119-03.06.58.665888 -;VIR SEPA C.P.A.M. DE L HERAULT;241.2;0000001720324433202340241118    
24;CEAPC;;2024-11-19;1911202420241119-03.06.53.012582 -;VIR SEPA CPAM LA ROCHE S/YON VV;678.79;0000001720324433207140241118    
25;CEAPC;;2024-11-19;1911202420241119-03.06.42.539061 -;VIR SEPA C.P.A.M. ALBI;3.0;0000001720324433206672241118    
26;CEAPC;;2024-11-19;1911202420241119-03.06.38.134701 -;VIR SEPA C.P.A.M. BORDEAUX;22.9;0000001720324433200702241118    
27;CEAPC;;2024-11-19;1911202420241119-03.06.36.916838 -;VIR SEPA C.P.A.M. TARBES;61.01;0000001720324433205601241118    
